Experiments,Time,ER_OD,FP_OD,AC_OD,CC_OD,RI_OD,DP_OD,BH_OD,CA_OD,PC_OD,DL_OD,CG_OD,BF_OD,EL_OD,CH_OD,BO_OD,BT_OD,BU_OD,BV_OD,BC_OD,BY_OD,PJ_OD,DF_OD,BL_OD,BP_OD,BA_OD,Butyrate,Acetate,Lactate,Succinate
AC_BA_BC_BF_BH_BP_BU_CA_DL_EL_PJ,0.0,0.0,0.0,0.0006000000000000001,0.0,0.0,0.0,0.0006000000000000001,0.0006000000000000001,0.0,0.0006000000000000001,0.0,0.0006000000000000001,0.0006000000000000001,0.0,0.0,0.0,0.0006000000000000001,0.0,0.0006000000000000001,0.0,0.0006000000000000001,0.0,0.0,0.0006000000000000001,0.0006000000000000001,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BH_BP_BU_CA_DL_EL_PJ,48.0,0.0,0.0,0.5895077799155,0.0,0.0,0.0,0.0009924744395,0.0224801847605,0.0,0.127765941948,0.0,0.2198354959535,0.0107024727365,0.0,0.0,0.0,0.0493939612955,0.0,0.42458382427950003,0.0,0.0682043999705,0.0,0.0,0.3902314286205,0.2063445794785,27.782584445,46.832453855,31.22318174,7.30054899
AC_BA_BC_BF_BH_BP_BV_CG_DP_ER_PC_PJ,0.0,0.0005499999999999999,0.0,0.0005499999999999999,0.0,0.0,0.0005499999999999999,0.0005499999999999999,0.0,0.0005499999999999999,0.0,0.0005499999999999999,0.0005499999999999999,0.0,0.0,0.0,0.0,0.0,0.0005499999999999999,0.0005499999999999999,0.0,0.0005499999999999999,0.0,0.0,0.0005499999999999999,0.0005499999999999999,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BH_BP_BV_CG_DP_ER_PC_PJ,48.0,0.045560446488000006,0.0,0.6107643286335,0.0,0.0,0.007752713472,0.0008309051595000001,0.0,0.08798383136250001,0.0,0.097643860947,0.1881836124615,0.0,0.0,0.0,0.0,0.0,0.024125321493,0.27406930797,0.0,0.058058918446500005,0.0,0.0,0.2600010133785,0.1804541271435,15.399170095,50.341657330000004,40.67657864,9.96718434
AC_BA_BC_BF_BH_BY_CA_CC_CH_DF_DL_EL_ER_FP,0.0,0.0004714285714285714,0.0004714285714285714,0.0004714285714285714,0.0004714285714285714,0.0,0.0,0.0004714285714285714,0.0004714285714285714,0.0,0.0004714285714285714,0.0,0.0004714285714285714,0.0004714285714285714,0.0004714285714285714,0.0,0.0,0.0,0.0,0.0004714285714285714,0.0004714285714285714,0.0,0.0004714285714285714,0.0,0.0,0.0004714285714285714,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BH_BY_CA_CC_CH_DF_DL_EL_ER_FP,48.0,0.09356089674099999,0.000728271005,0.2620364436275,0.15400960505400002,0.0,0.0,0.002390122174,0.115336491909,0.0,0.3985622950475,0.0,0.123524321253,0.0010872814405,0.021205599228,0.0,0.0,0.0,0.0,0.25182053528799997,0.063116622186,0.0,0.1505860822795,0.0,0.0,0.1850067841395,45.048699694999996,29.77206654,0.837232755,13.421817675
AC_BA_BC_BF_BL_BO_BT_BU_BY_CC_CG_CH_DF_DP_PJ_RI,0.0,0.0,0.0,0.0004125,0.0004125,0.0004125,0.0004125,0.0,0.0,0.0,0.0,0.0004125,0.0004125,0.0,0.0004125,0.0004125,0.0004125,0.0004125,0.0,0.0004125,0.0004125,0.0004125,0.0004125,0.0004125,0.0,0.0004125,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BL_BO_BT_BU_BY_CC_CG_CH_DF_DP_PJ_RI,48.0,0.0,0.0,0.6486069019435,0.1151434191715,0.0004273711155,0.0037025939135,0.0,0.0,0.0,0.0,0.049755991279999995,0.1095724731475,0.0,0.1235903032175,0.097677311723,0.1834179751155,0.019830909195,0.0,0.1789033892045,0.0699607384815,0.0366637429385,0.1733432495055,0.005428052821,0.0,0.078891933733,27.764509185,38.02512647499999,20.9435735,16.70490818
AC_BA_BC_BF_BL_BT_BU_BY_CA_CC_CG_ER_FP_PJ_RI,0.0,0.00044,0.00044,0.00044,0.00044,0.00044,0.0,0.0,0.00044,0.0,0.0,0.00044,0.00044,0.0,0.0,0.0,0.00044,0.00044,0.0,0.00044,0.00044,0.00044,0.0,0.00044,0.0,0.00044,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BL_BT_BU_BY_CA_CC_CG_ER_FP_PJ_RI,48.0,0.015842450708715504,0.004772296915765455,0.7386137331151512,0.1697503982838446,0.006347653840230591,0.0,0.0,0.1688034432077406,0.0,0.0,0.12023054938404465,0.1445201780637235,0.0,0.0,0.0,0.2531808186140171,0.019062503771200806,0.0,0.19079237996774095,0.04710417520346469,0.0027719776582799905,0.0,0.014236839071712571,0.0,0.2186935875625568,43.58475,26.020699999999998,1.45965,15.192599999999999
AC_BA_BC_BF_BL_BT_BU_CC_DF_DL_DP_FP_PC,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0,0.0005076923076923077,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0,0.0005076923076923077,0.0,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0,0.0005076923076923077,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0,0.0005076923076923077,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BL_BT_BU_CC_DF_DL_DP_FP_PC,48.0,0.0,0.0023294832854999998,0.6020558253074999,0.1301775119275,0.0,0.004510611402,0.0,0.0,0.183396943949,0.022758439728999998,0.0,0.2158530925655,0.0,0.0,0.0,0.228262954452,0.010782901721,0.0,0.223800073903,0.0,0.0,0.1302469384545,0.011296156098999999,0.0,0.091273442525,19.22286751,38.17609917,27.157375155,15.761122985
AC_BA_BC_BF_BT_BU_BV_CC_CG_EL_ER_FP_RI,0.0,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0,0.0,0.0,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0,0.0,0.0,0.0,0.0,0.0005076923076923077,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BT_BU_BV_CC_CG_EL_ER_FP_RI,48.0,0.013006753711458893,0.0009450530838233185,0.47220465539072076,0.09321172679935713,0.005269049532489387,0.0,0.0,0.0,0.0,0.0,0.13270982603370815,0.18806153374632717,0.10861748138993191,0.0,0.0,0.3415465616908513,0.014867313294375113,0.04054908047776364,0.24110834818763777,0.0,0.0,0.0,0.0,0.0,0.2759853500628108,45.56165,18.050600000000003,0.0,17.58775
AC_BA_BC_BH_BL_BO_BP_BV_BY_CA_CG_DP_EL_ER_PC_PJ_RI,0.0,0.000388235294117647,0.0,0.000388235294117647,0.0,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.0,0.000388235294117647,0.0,0.000388235294117647,0.0,0.000388235294117647,0.0,0.0,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.0,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.0,0.0,28.0,0.0
AC_BA_BC_BH_BL_BO_BP_BV_BY_CA_CG_DP_EL_ER_PC_PJ_RI,48.0,0.0283797877855,0.0,0.53400356715,0.0,0.000172941149,0.0032723467199999995,0.00040127573849999996,0.010536380316999999,0.082236060706,0.0,0.09155450847749999,0.0,0.0045383142815,0.0,0.059723544301499995,0.0,0.0,0.025012446207499997,0.21578637452149996,0.04536439371749999,0.041328467134,0.0,0.0048287918150000005,0.232629992967,0.101276951756,20.65616191,45.510928245,37.96058413,9.078225419999999
AC_BA_BC_BH_BL_BO_BT_CC_CH_DP_ER_FP_PC_RI,0.0,0.0004714285714285714,0.0004714285714285714,0.0004714285714285714,0.0004714285714285714,0.0004714285714285714,0.0004714285714285714,0.0004714285714285714,0.0,0.0004714285714285714,0.0,0.0,0.0,0.0,0.0004714285714285714,0.0004714285714285714,0.0004714285714285714,0.0,0.0,0.0004714285714285714,0.0,0.0,0.0,0.0004714285714285714,0.0,0.0004714285714285714,0.0,0.0,28.0,0.0
AC_BA_BC_BH_BL_BO_BT_CC_CH_DP_ER_FP_PC_RI,48.0,0.08309088794775865,0.0013598204080923968,0.720038961585816,0.15304573155272733,0.0085057952926022,0.0031214536765512505,0.0006839558217147789,0.0,0.40539729234495303,0.0,0.0,0.0,0.0,0.03189679395618656,0.1973270442892411,0.3471416885684903,0.0,0.0,0.38148067435276645,0.0,0.0,0.0,0.009427392281310457,0.0,0.25000831790338757,23.3553,26.719300000000004,17.12095,21.682450000000003
AC_BA_BC_BH_BL_BO_BV_BY_CG_DF_DL_FP,0.0,0.0,0.0005499999999999999,0.0005499999999999999,0.0,0.0,0.0,0.0005499999999999999,0.0,0.0,0.0005499999999999999,0.0005499999999999999,0.0,0.0,0.0,0.0005499999999999999,0.0,0.0,0.0005499999999999999,0.0005499999999999999,0.0005499999999999999,0.0,0.0005499999999999999,0.0005499999999999999,0.0,0.0005499999999999999,0.0,0.0,28.0,0.0
AC_BA_BC_BH_BL_BO_BV_BY_CG_DF_DL_FP,48.0,0.0,0.0014232080339999999,0.7620327921345,0.0,0.0,0.0,0.0005607466365,0.0,0.0,0.358183207251,0.107123101335,0.0,0.0,0.0,0.1086814380495,0.0,0.0,0.0321380136495,0.2552596488915,0.062825234988,0.0,0.1447242483825,0.0076077741660000005,0.0,0.100719102522,39.116014129999996,36.333512080000006,2.70438295,13.61395669
AC_BA_BC_BH_BL_BP_BT_CA_CC_CH_DF_DL_PJ,0.0,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0,0.0005076923076923077,0.0,0.0,0.0,0.0005076923076923077,0.0,0.0005076923076923077,0.0,0.0,0.0005076923076923077,0.0,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0,0.0,28.0,0.0
AC_BA_BC_BH_BL_BP_BT_CA_CC_CH_DF_DL_PJ,48.0,0.0,0.0,0.707587234884,0.058477878080999995,0.0,0.0,0.0006600985079999999,0.002347583079,0.0,0.0295233279,0.0,0.0,0.0,0.058491398072999995,0.0,0.37580432865900004,0.0,0.0,0.385440535245,0.0,0.045581470443,0.117226896513,0.007313115003,0.109054200318,0.060576262809,29.153242480000003,38.30738191499999,19.48929296,14.40220281
AC_BA_BC_BH_BL_BP_BU_BV_CC_CH_DF_EL_PC,0.0,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0,0.0,0.0005076923076923077,0.0,0.0005076923076923077,0.0,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0,0.0,28.0,0.0
AC_BA_BC_BH_BL_BP_BU_BV_CC_CH_DF_EL_PC,48.0,0.0,0.0,0.6151854258865,0.0825205541025,0.0,0.0,0.0007027436860000001,0.0,0.102596733487,0.0,0.0,0.0,0.007521461787,0.016019297541,0.0,0.0,0.020036406657000003,0.018555102111,0.401653581896,0.0,0.0,0.066374517232,0.006232456318,0.15979645786250002,0.1455524865535,34.12801823,35.8719919,17.627600655000002,16.25873598
AC_BA_BC_BH_BO_BT_BY_CA_CC_CG_CH_DF_EL_FP_PJ,0.0,0.0,0.00044,0.00044,0.00044,0.0,0.0,0.00044,0.00044,0.0,0.0,0.00044,0.0,0.00044,0.00044,0.00044,0.00044,0.0,0.0,0.00044,0.00044,0.00044,0.00044,0.0,0.0,0.00044,0.0,0.0,28.0,0.0
AC_BA_BC_BH_BO_BT_BY_CA_CC_CG_CH_DF_EL_FP_PJ,48.0,0.0,0.0018372428005,0.356650722246,0.0880364701625,0.0,0.0,0.0006997822255000001,0.0617101934185,0.0,0.0,0.0738740408635,0.0,0.006246791962,0.0673920510745,0.1854123878185,0.34276250854699997,0.0,0.0,0.35014170653050003,0.102116911287,0.0599292289895,0.169079244657,0.0,0.0,0.125772168617,46.76463875,22.755595235,1.79774709,26.381374110000003
AC_BA_BC_BH_BT_BV_CC_EL_ER_FP_PJ_RI,0.0,0.0005499999999999999,0.0005499999999999999,0.0005499999999999999,0.0005499999999999999,0.0005499999999999999,0.0,0.0005499999999999999,0.0,0.0,0.0,0.0,0.0,0.0005499999999999999,0.0,0.0,0.0005499999999999999,0.0,0.0005499999999999999,0.0005499999999999999,0.0,0.0005499999999999999,0.0,0.0,0.0,0.0005499999999999999,0.0,0.0,28.0,0.0
AC_BA_BC_BH_BT_BV_CC_EL_ER_FP_PJ_RI,48.0,0.018979871757134458,0.0013883540072111694,0.47383062223668326,0.37278022195822336,0.007817872082508722,0.0,0.0013512726976931554,0.0,0.0,0.0,0.0,0.0,0.0659690619383982,0.0,0.0,0.34311428754762374,0.0,0.0956324344881597,0.2715337626054155,0.0,0.0022179155615921135,0.0,0.0,0.0,0.28767624087533245,49.7566,14.6832,1.67885,15.675149999999999
AC_BA_BC_BH_CC_CH_DL_DP_ER_FP_PJ_RI,0.0,0.0005499999999999999,0.0005499999999999999,0.0005499999999999999,0.0005499999999999999,0.0005499999999999999,0.0005499999999999999,0.0005499999999999999,0.0,0.0,0.0005499999999999999,0.0,0.0,0.0,0.0005499999999999999,0.0,0.0,0.0,0.0,0.0005499999999999999,0.0,0.0005499999999999999,0.0,0.0,0.0,0.0005499999999999999,0.0,0.0,28.0,0.0
AC_BA_BC_BH_CC_CH_DL_DP_ER_FP_PJ_RI,48.0,0.14428985146089157,0.0009180889302760537,0.49896952732568567,0.20969930099228598,0.0001764878212102769,0.0050708366284553715,0.0005125192014747506,0.0,0.0,0.287243291337338,0.0,0.0,0.0,0.09891067707392384,0.0,0.0,0.0,0.0,0.5731107537552012,0.0,0.058695867125752824,0.0,0.0,0.0,0.2486912702023497,16.485,38.129999999999995,40.45,7.925000000000001
AC_BA_BC_BL_BT_CG_CH_DF_FP_PC_PJ,0.0,0.0,0.0006000000000000001,0.0006000000000000001,0.0,0.0,0.0,0.0,0.0,0.0006000000000000001,0.0,0.0006000000000000001,0.0,0.0,0.0006000000000000001,0.0,0.0006000000000000001,0.0,0.0,0.0006000000000000001,0.0,0.0006000000000000001,0.0006000000000000001,0.0006000000000000001,0.0,0.0006000000000000001,0.0,0.0,28.0,0.0
AC_BA_BC_BL_BT_CG_CH_DF_FP_PC_PJ,48.0,0.0,0.001567508063,0.5976895088109999,0.0,0.0,0.0,0.0,0.0,0.28515662960199994,0.0,0.051067863786499995,0.0,0.0,0.035049111945,0.0,0.1280913712795,0.0,0.0,0.2034491498785,0.0,0.0267601912595,0.102413847772,0.0030557652265,0.0,0.032186938047,34.24336152,28.660025405,5.897732565,29.773322235000002
AC_BA_BC_BL_CC_CH_DP_EL_ER_FP_RI,0.0,0.0006000000000000001,0.0006000000000000001,0.0006000000000000001,0.0006000000000000001,0.0006000000000000001,0.0006000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0006000000000000001,0.0006000000000000001,0.0,0.0,0.0,0.0,0.0006000000000000001,0.0,0.0,0.0,0.0006000000000000001,0.0,0.0006000000000000001,0.0,0.0,28.0,0.0
AC_BA_BC_BL_CC_CH_DP_EL_ER_FP_RI,48.0,0.04841085575508397,0.0017665361744744867,0.6131265559793786,0.48021873307698526,0.002926068726588987,0.003704059898529883,0.0,0.0,0.0,0.0,0.0,0.0,0.01870978044429429,0.01426729565483496,0.0,0.0,0.0,0.0,0.609087865921517,0.0,0.0,0.0,0.015183266053524845,0.0,0.4327551506942726,36.45555,29.853,25.02015,12.16765
AC_BA_BC_BO_BP_BU_BY_CC_CG_CH_DL,0.0,0.0,0.0,0.0006000000000000001,0.0006000000000000001,0.0,0.0,0.0,0.0,0.0,0.0006000000000000001,0.0006000000000000001,0.0,0.0,0.0006000000000000001,0.0006000000000000001,0.0,0.0006000000000000001,0.0,0.0006000000000000001,0.0006000000000000001,0.0,0.0,0.0,0.0006000000000000001,0.0006000000000000001,0.0,0.0,28.0,0.0
AC_BA_BC_BO_BP_BU_BY_CC_CG_CH_DL,48.0,0.0,0.0,0.559609865266,0.077530366218,0.0,0.0,0.0,0.0,0.0,0.117698898253,0.07926244500900001,0.0,0.0,0.035844142132000004,0.156258950982,0.0,0.041001290536,0.0,0.308264962721,0.07704720339400001,0.0,0.0,0.0,0.20581821744199996,0.08040813320500001,27.918717585,44.73402933,21.883341185,9.633931585
AC_BA_BC_BO_BP_BY_CC_DF_ER_FP_PC_RI,0.0,0.0005499999999999999,0.0005499999999999999,0.0005499999999999999,0.0005499999999999999,0.0005499999999999999,0.0,0.0,0.0,0.0005499999999999999,0.0,0.0,0.0,0.0,0.0,0.0005499999999999999,0.0,0.0,0.0,0.0005499999999999999,0.0005499999999999999,0.0,0.0005499999999999999,0.0,0.0005499999999999999,0.0005499999999999999,0.0,0.0,28.0,0.0
AC_BA_BC_BO_BP_BY_CC_DF_ER_FP_PC_RI,48.0,0.0206863389265,0.0011057854380995685,0.9226920807985025,0.06836335214299999,0.001821857611358794,0.0,0.0,0.0,0.07932650922866116,0.0,0.0,0.0,0.0,0.0,0.1262987495115,0.0,0.0,0.0,0.2973904852799926,0.10783818305079054,0.0,0.10826104652222465,0.0,0.26379565880550004,0.2515357763361874,33.1234878,32.79296368,18.87833659,9.47683302
