,Community,Time,Richness,Contamination,PC,PC_OD,PJ,PJ_OD,BV,BV_OD,BF,BF_OD,BO,BO_OD,BT,BT_OD,BC,BC_OD,BY,BY_OD,BU,BU_OD,DP,DP_OD,BL,BL_OD,BA,BA_OD,BP,BP_OD,CA,CA_OD,EL,EL_OD,FP,FP_OD,CH,CH_OD,AC,AC_OD,BH,BH_OD,CG,CG_OD,ER,ER_OD,RI,RI_OD,CC,CC_OD,DL,DL_OD,DF,DF_OD,OD,Butyrate,Acetate,Lactate,Succinate
311,PC-PJ-BV-BF-BY-BA-BP-CA-EL-BH-CG-ER-DL,48.0,13.0,No,1.0,0.029368321426390665,1.0,0.02226308237161873,1.0,0.0351472491909385,1.0,0.29756741161384864,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22367292544422052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02463149538987604,1.0,0.046231422116382724,1.0,0.0029368321426390663,1.0,0.004168406912132869,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0008526286865726321,1.0,0.05826296024912986,1.0,0.26876750931183974,0.0,0.0,0.0,0.0,1.0,0.020463088477743172,0.0,0.0,1.034333333333333,5.38280328,59.30790956,58.45139348,21.42695322
312,PC-PJ-BO-BT-BC-BY-FP-CH-AC-ER-RI-DL-DF,0.0,13.0,No,1.0,0.0005076923076923077,1.0,0.0005076923076923077,0.0,0.0,0.0,0.0,1.0,0.0005076923076923077,1.0,0.0005076923076923077,1.0,0.0005076923076923077,1.0,0.0005076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0005076923076923077,1.0,0.0005076923076923077,1.0,0.0005076923076923077,0.0,0.0,0.0,0.0,1.0,0.0005076923076923077,1.0,0.0005076923076923077,0.0,0.0,1.0,0.0005076923076923077,1.0,0.0005076923076923077,0.0066,0.0,0.0,28.0,0.0
313,PC-PJ-BO-BT-BC-BY-FP-CH-AC-ER-RI-DL-DF,16.0,13.0,No,1.0,0.14275739442639768,1.0,0.011432951501681199,0.0,0.0,0.0,0.0,1.0,0.15758933150965976,1.0,0.19528717159628425,1.0,0.282888299994301,1.0,0.0950170969396478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0016994927907904485,1.0,0.017921923975608364,1.0,0.06442622670541973,0.0,0.0,0.0,0.0,1.0,0.2842787940958568,1.0,0.0018539921354077619,0.0,0.0,1.0,0.45870855416880374,1.0,0.0928541061150054,1.8073333333333332,25.8909152,53.29104888,19.7572139,20.45407456
314,PC-PJ-BO-BT-BC-BY-FP-CH-AC-ER-RI-DL-DF,32.0,13.0,No,1.0,0.13790338566444657,1.0,0.007540041230574057,0.0,0.0,0.0,0.0,1.0,0.11984697113859817,1.0,0.13631600856327308,1.0,0.21151799873136698,1.0,0.08016254360926103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0005952664129400572,1.0,0.02857278782112274,1.0,0.28949789882651444,0.0,0.0,0.0,0.0,1.0,0.21925646209958768,1.0,0.0009921106882334286,0.0,0.0,1.0,0.32957917063114495,1.0,0.10615584364097687,1.6683333333333334,24.638498000000002,40.82440820000001,19.71871152,23.03363297
315,PC-PJ-BO-BT-BC-BY-FP-CH-AC-ER-RI-DL-DF,48.0,13.0,No,1.0,0.09801824535361968,1.0,0.011393264681324797,0.0,0.0,0.0,0.0,1.0,0.15299526857779014,1.0,0.2177379472430961,1.0,0.2463115316819742,1.0,0.09060358103720195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001446763769057117,1.0,0.07685932523115935,1.0,0.48339994433620925,0.0,0.0,0.0,0.0,1.0,0.2700022884002845,1.0,0.0010850728267928378,0.0,0.0,1.0,0.16258007854779355,1.0,0.13690002164702972,1.9493333333333331,23.27425064,39.4122334,21.3600081,27.84103895
316,BF-BO-BC-BY-BU-DP-BA-BP-FP-CH-AC-BH-ER-RI-CC-DL-DF,0.0,17.0,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0003882352941176471,1.0,0.0003882352941176471,0.0,0.0,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,0.0,0.0,1.0,0.0003882352941176471,1.0,0.0003882352941176471,0.0,0.0,0.0,0.0,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,0.0,0.0,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,0.0066,0.0,0.0,28.0,0.0
317,BF-BO-BC-BY-BU-DP-BA-BP-FP-CH-AC-BH-ER-RI-CC-DL-DF,16.0,17.0,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18195779126915293,1.0,0.14294813529921943,0.0,0.0,1.0,0.3052701936976005,1.0,0.08495727088753975,1.0,0.056420005782017925,1.0,0.006414339404452154,0.0,0.0,1.0,0.09948771321191097,1.0,0.0782811217114773,0.0,0.0,0.0,0.0,1.0,0.001178143972246314,1.0,0.03652246313963574,1.0,0.02421740387395201,1.0,0.000392714657415438,0.0,0.0,1.0,0.24583937554206417,1.0,0.001047239086441168,1.0,0.007068863833477884,1.0,0.12252697311361666,1.0,0.11349453599306158,1.5093333333333334,18.43948984,47.82123356,33.29885859,11.57292722
318,BF-BO-BC-BY-BU-DP-BA-BP-FP-CH-AC-BH-ER-RI-CC-DL-DF,32.0,17.0,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14691152366616492,1.0,0.11838501421642414,0.0,0.0,1.0,0.2329189496571333,1.0,0.06589623682890115,1.0,0.035943401906673354,1.0,0.0027100183977253724,0.0,0.0,1.0,0.03936658304064225,1.0,0.0939948486368958,0.0,0.0,0.0,0.0,1.0,0.002139488208730557,1.0,0.05049192172604114,1.0,0.1946934269944807,1.0,0.0005705301889948152,0.0,0.0,1.0,0.17543803311590567,1.0,0.0001426325472487038,1.0,0.004564241511958522,1.0,0.17115905669844456,1.0,0.08486636561297876,1.4213333333333333,19.00495368,51.6038936,37.45366162,13.58038059
319,BF-BO-BC-BY-BU-DP-BA-BP-FP-CH-AC-BH-ER-RI-CC-DL-DF,48.0,17.0,No,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1233241096074867,1.0,0.1159328755133643,0.0,0.0,1.0,0.19326708409075607,1.0,0.07240671918131017,1.0,0.026553692856661953,1.0,0.0020531205817006662,0.0,0.0,1.0,0.009718104086716488,1.0,0.02600619403487511,0.0,0.0,0.0,0.0,1.0,0.0002737494108934222,1.0,0.07801858210462533,1.0,0.3638129670773581,1.0,0.0001368747054467111,0.0,0.0,1.0,0.14385531542449337,1.0,0.0010949976435736888,1.0,0.004653739985188177,1.0,0.10457227496128728,1.0,0.08951605736214906,1.3553333333333333,19.23476936,46.16162676,36.94247556,14.64552623
320,PJ-BV-BO-BU-CA-CH-AC-BH-CG-RI-DL-DF,0.0,12.0,No,0.0,0.0,1.0,0.00055,1.0,0.00055,0.0,0.0,1.0,0.00055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00055,0.0,0.0,0.0,0.0,1.0,0.00055,1.0,0.00055,1.0,0.00055,1.0,0.00055,0.0,0.0,1.0,0.00055,0.0,0.0,1.0,0.00055,1.0,0.00055,0.0066,0.0,0.0,28.0,0.0
